Wu-Tang Clan,hip hop;Gangsta Rap;wu-tang;Dope;stream,Latunza Hit,TRKKSZP128F92EA083
Margaret Whiting,female vocalists;favorites;50s;40s;early pop;40s-50s;Early Baby Boomer,That Old Black Magic,TRKKSXO128F92E30CC
Rhian Sheehan,Top Gear,Somewhere Within,TRKKSMX128F92F6765
We All Have Hooks for Hands,indie;alternative;upbeat;catchy;Remember;well produced;instrumental intro;sounds like spring,Oh I'd Expect,TRKKSLN12903CD64D7
Michael Jackson,michael jackson;pop;dance;king of pop;dance pop;2001;watts;soul;energy;00s;tyrese;invincible;king of music;pop rock;rock;funk;rap;gaming music;Jessica Simpson;out of this world;janet jackson;tweet;Killer Tunes;whitney houston;toni braxton;Lindsay Lohan;machine;floetry;lauryn hill;Aaliyah;beyonce;favori-pop;Simply MJ;Michael-Jackson-the-king-of-pop;2000 watts;Tyler Adam;sam sparro;calvin harris;Kiley Dean;dance and dj;power voice;darkchild;michelle williams;90 bpm;2000's;ray-j;cassie;diplo;Kelly Rowland;80s;singer-songwriter;rnb;USA;rhythm and blues;chill;Esthero;Madonna;Disco;Jam;Britney Spears;Mariah Carey;harmonies;Nelly Furtado;urban;2000;Immortal;Busta Rhymes;Justin Timberlake;I love this song;Mya;Christina Aguilera;Brandy;Rihanna;Robin Thicke;male vocalists;Kanye West;adult contemporary;Favorite artist;Monica;black music;outkast;Favourites;talia;favorite songs;favorites;numbers add up to nothing;arabesk;My Favorites;raj;classic;pop music tag,2000 Watts,TRKKSAF128F92DA44C
Cheb Mami,song,Sabran (Ya Ghali),TRKKSOC128F1492FFC
The Nolans,80s;pop;oldies;female vocalists;close harmony;dance;Disco;pop espaol;UK;Nolans;uk chart hits to check out - the 70s,Don't Love Me Too Hard,TRKKSGH128F92D3078
Swingin' Utters,great;punk,Nowhere Fast,TRKKSRQ128F421A1B8
Big D and the Kids Table,,She's Lovely (Stripped Down),TRKKSYX12903CEB219
Zion I,clasSICKhiphop;crescent 2 smelly;raposti;do you really want crescentfresh tunes;Crocker;Stoned Beats;wherehouse days;shit i adore;the city life;b-boy stance;mellow smart hip-hop;my life soundtrack;preparty;sick beats;loved;truth;memories;Awesome,Silly Puddy,TRKKSQR12903CB4EFD
Willie Dixon,,Juice-Head Bartender,TRKKSZY128F42703A0
Ras Michael,,I`m A Man Just Like You,TRKKSAG128F930CBA8
Juan Valentin,,Ojitos Provincianos,TRKKSPT128F427207E
Patti Smith,rock;female vocalists;punk;proto-punk;patti smith;70s;american;cool;Awesome Guitar Jams;singer songwriter;Awesome Guitar Jam;political;indie;great;imemine;Rock  Roll;Another reason to live and love;madameb;songs with numbers;killforpeace;PSG;flirt;pure-;pure-emo;One;NYC;chick rock;rocking out;New York Punk;USA;new wave;alternative rock;alternative;singer-songwriter;Driving;classic rock;Solomusika-Loved,25th Floor,TRKKSSG128F428D0FA
I Cugini di Campagna,,Valeria,TRKKSVS128F426EBAD
Los Chichos,verbena;buenrollito;gitaneo,Mujer Cruel,TRKKSHD128F428CA45
Stephan Remmler,,Im Krankenhaus Mit Café Drechsler,TRKKSYP128F424F203
Booker T. & The MG's,christmas,Night Owl Walk (LP Version),TRKKSUA128F4241350
Kokayi,,DCB,TRKKSMP128F425FF8E
Twinkle Twinkle Little Rock Star,,Buffalo Soldier,TRKKSEB12903CC8ABF
Guildo Horn,,Habe Ma Wieda (Hawa Nagila),TRKKSSI128F4271692
Cave In,Dreamy;rock;space;melancholy;spacey;hardcore;night;Progressive;Favourites;floaty;cave in;heard on Pandora,Seafrost,TRKKSKN128F42928D8
Tom T. Hall,,Bluegrass Break Up,TRKKSJM128F14639E1
Lenny Breau,jazz;guitar jazz;jazz guitar,A Taste Of Honey,TRKKSZY128F93273BD
The Impressions,,You've Got Me Runnin',TRKKSTL128E079936E
Julio Preciado,ranchera;latin;ranchero;mariachi;spanish;My Jams;PAL NORTE;my fav five;BANDA;julio preciado,Esa Pared,TRKKSMO128F92F635F
Grayson Manor,,Mamasita,TRKKSSQ128F9330CF5
Jack Peñate,,Tonights Today,TRKKSZI128F933F34C
Threats,Uk 82,Go To Hell,TRKKSCW128F9359480
Daleka Obala,,Ruzinavi Brod,TRKKSIF12903CF0370
Ras Shiloh,reggae;ras shiloh humanity,Humanity,TRKKSHH128F9315F41
Pat Metheny Trio,,Capricorn (Album Version),TRKKSJV128F931BD66
Pretty Maids,cover;metal;deep purple cover;ambiance;deep purple;mr under-cover-me,Perfect Strangers,TRKKSER128F4241C16
Big Bill Morganfield,blues;Muddy Waters son,Trace Of You,TRKKSXH128F421AECC
Takana Zion,,Depui a dub,TRKKSHK128F425C932
Pulcher Femina,futurepop;synthpop;zajimavy,Autumn Wind,TRKKSFB128F92EAC05
